# MvsR for tab1d_cold /home/gieg/projects/eos/RMF3/RMF3_TOV.d
# p_c, R_iso, M, Mb, R, Lambda, e_c, R_inv
 5.377173e-05 7.599217e+00 6.958536e-01 7.247111e-01 8.311000e+00 1.606683e+04 8.745554e-04 8.805145e+00
 5.379529e-05 7.599014e+00 6.960467e-01 7.249228e-01 8.311000e+00 1.604380e+04 8.746783e-04 8.805263e+00
 5.381886e-05 7.598812e+00 6.962399e-01 7.251346e-01 8.311000e+00 1.602140e+04 8.748012e-04 8.805381e+00
 5.384244e-05 7.598609e+00 6.964330e-01 7.253465e-01 8.311000e+00 1.600644e+04 8.749241e-04 8.805499e+00
 5.386604e-05 7.598407e+00 6.966262e-01 7.255583e-01 8.311000e+00 1.598370e+04 8.750471e-04 8.805617e+00
 5.388964e-05 7.598204e+00 6.968195e-01 7.257703e-01 8.311000e+00 1.595604e+04 8.751701e-04 8.805735e+00
 5.391326e-05 7.597000e+00 6.970128e-01 7.259823e-01 8.310000e+00 1.593564e+04 8.752931e-04 8.804757e+00
 5.393688e-05 7.596797e+00 6.972061e-01 7.261943e-01 8.310000e+00 1.591691e+04 8.754161e-04 8.804875e+00
 5.396052e-05 7.596595e+00 6.973994e-01 7.264064e-01 8.310000e+00 1.589322e+04 8.755392e-04 8.804993e+00
 5.398416e-05 7.596392e+00 6.975928e-01 7.266185e-01 8.310000e+00 1.587457e+04 8.756622e-04 8.805111e+00
 5.400782e-05 7.596189e+00 6.977863e-01 7.268307e-01 8.310000e+00 1.585102e+04 8.757853e-04 8.805229e+00
 5.403148e-05 7.595986e+00 6.979798e-01 7.270430e-01 8.310000e+00 1.582739e+04 8.759084e-04 8.805347e+00
 5.405516e-05 7.595783e+00 6.981733e-01 7.272552e-01 8.310000e+00 1.581418e+04 8.760316e-04 8.805465e+00
 5.407885e-05 7.595581e+00 6.983668e-01 7.274675e-01 8.310000e+00 1.579172e+04 8.761547e-04 8.805583e+00
