redshift    gw_detected    grb_detected    DeltaOmega    telt_vr    lsstg    lssti    telt_ztf    ztfg    ztfi    telt_pstarrs    ps1::g    ps1::i    telt_ultrasat    ultrasat_custom    radio_afterglow    opt_afterglow    xray_afterglow    telt_vr_afterglow 
0.467    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
2.006    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.509    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
2.632    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
2.403    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
3.449    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.933    1    0    4688.03    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.614    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.144    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.335    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.705    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
3.260    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
2.109    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
2.261    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
2.722    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.154    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
2.757    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
2.082    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.637    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
2.689    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.133    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.858    1    0    4102.90    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.575    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.914    1    0    3332.08    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.585    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.048    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.839    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.710    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
