 redshift gw_detected snr grb_detected DeltaOmega telt_vr lsstg lssti telt_ztf ztfg ztfi telt_roman f158 f213 telt_pstarrs telt_ultrasat ultrasat_custom ps1::i ps1::g afterglow_search radio_afterglow opt_afterglow xray_afterglow telt_vr_afterglow kn_visible grb_afg_visible kn_afg_visible detection_time
93 3.304 0 3.705 0 inf 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0.000 0 0 0 
94 2.021 0 3.756 0 inf 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0.000 0 0 0 
95 1.492 0 9.584 0 inf 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0.000 0 0 0 
96 0.459 1 48.448 0 20.610 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 1 0 0 0 0.000 0 0 0 inf
97 1.881 0 8.180 0 inf 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0.000 0 0 0 
98 1.472 0 9.014 0 inf 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0.000 0 0 0 
99 0.776 0 7.407 0 inf 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0.000 0 0 0 
100 1.017 0 11.454 0 inf 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0.000 0 0 0 
101 1.133 1 13.960 0 169.925 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 1 0 0 0 0.000 0 0 0 inf
102 1.685 0 10.314 0 inf 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0.000 0 0 0 
103 2.801 0 6.471 0 inf 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0.000 0 0 0 
104 1.424 0 7.722 0 inf 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0.000 0 0 0 
105 0.434 1 37.143 0 12.025 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 1 0 0 0 0.000 0 0 0 inf
106 4.824 0 7.300 0 inf 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0.000 0 0 0 
107 2.087 1 12.118 0 138.204 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 1 0 0 0 0.000 0 0 0 inf
108 1.316 0 5.644 0 inf 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0.000 0 0 0 
109 1.420 0 10.106 0 inf 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0.000 0 0 0 
110 1.629 0 8.107 0 inf 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0.000 0 0 0 
111 1.212 0 9.186 0 inf 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0.000 0 0 0 
112 0.805 1 14.398 0 72.072 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 1 0 0 0 0.000 0 0 0 inf
113 2.456 0 3.651 0 inf 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0.000 0 0 0 
114 2.041 0 7.949 0 inf 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0.000 0 0 0 
115 2.375 0 5.396 0 inf 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0.000 0 0 0 
116 1.676 0 8.866 0 inf 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0.000 0 0 0 
117 1.841 0 5.054 0 inf 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0.000 0 0 0 
118 0.853 0 10.968 0 inf 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0.000 0 0 0 
119 1.249 0 5.464 0 inf 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0.000 0 0 0 
120 1.035 1 12.080 0 1137.155 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0.000 0 0 0 
121 2.119 0 1.877 0 inf 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0.000 0 0 0 
122 0.686 0 8.312 0 inf 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0.000 0 0 0 
123 4.130 0 7.290 0 inf 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0.000 0 0 0 
124 3.578 0 4.331 0 inf 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0.000 0 0 0 
125 0.864 0 5.837 0 inf 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0.000 0 0 0 
126 1.629 0 7.176 0 inf 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0.000 0 0 0 
127 0.854 0 8.724 0 inf 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0.000 0 0 0 
128 1.177 1 18.841 0 60.221 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 1 0 0 0 0.000 0 0 0 inf
129 1.620 0 5.447 0 inf 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0.000 0 0 0 
130 1.105 1 15.054 0 233.719 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 1 0 0 0 0.000 0 0 0 inf
131 1.202 0 10.587 0 inf 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0.000 0 0 0 
132 2.912 0 11.694 0 inf 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0.000 0 0 0 
133 1.416 0 7.246 0 inf 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0.000 0 0 0 
134 1.729 0 7.220 0 inf 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0.000 0 0 0 
135 1.373 1 16.201 0 71.491 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 1 0 0 0 0.000 0 0 0 inf
136 7.409 0 3.412 0 inf 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0.000 0 0 0 
137 1.594 0 5.215 0 inf 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0.000 0 0 0 
138 0.515 1 16.275 0 336.677 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 1 0 0 0 0.000 0 0 0 inf
139 1.417 0 8.689 0 inf 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0.000 0 0 0 
140 1.420 1 13.248 0 167.750 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 1 0 0 0 0.000 0 0 0 inf
141 0.774 1 13.855 0 95.356 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 1 0 0 0 0.000 0 0 0 inf
142 1.112 1 16.135 0 232.812 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 1 0 0 0 0.000 0 0 0 inf
143 1.598 0 7.272 0 inf 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0.000 0 0 0 
144 0.946 1 19.717 0 59.938 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 1 0 0 0 0.000 0 0 0 inf
145 2.183 0 6.519 0 inf 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0.000 0 0 0 
146 2.380 0 4.859 0 inf 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0.000 0 0 0 
147 0.744 0 9.437 0 inf 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0.000 0 0 0 
148 2.006 0 9.982 0 inf 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0.000 0 0 0 
149 1.533 0 3.590 0 inf 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0.000 0 0 0 
150 2.632 0 8.460 0 inf 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0.000 0 0 0 
151 2.403 0 6.981 0 inf 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0.000 0 0 0 
152 3.449 0 2.706 0 inf 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0.000 0 0 0 
153 0.933 1 15.446 0 241.595 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 1 0 0 0 0.000 0 0 0 inf
154 1.614 1 13.563 0 153.679 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 1 0 0 0 0.000 0 0 0 inf
155 1.144 1 14.942 0 402.948 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0.000 0 0 0 
156 3.612 0 2.374 0 inf 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0.000 0 0 0 
157 1.524 0 9.098 0 inf 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0.000 0 0 0 
158 3.260 0 3.415 0 inf 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0.000 0 0 0 
159 1.767 0 5.730 0 inf 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0.000 0 0 0 
160 2.261 0 8.614 0 inf 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0.000 0 0 0 
161 1.914 0 7.226 0 inf 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0.000 0 0 0 
162 3.013 0 6.409 0 inf 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0.000 0 0 0 
163 4.312 0 7.328 0 inf 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0.000 0 0 0 
164 1.124 0 11.058 0 inf 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0.000 0 0 0 
165 0.456 1 18.119 0 79.226 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 1 0 0 0 0.000 0 0 0 inf
166 2.689 0 5.800 0 inf 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0.000 0 0 0 
167 0.611 0 8.192 0 inf 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0.000 0 0 0 
168 1.814 0 7.723 0 inf 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0.000 0 0 0 
169 0.575 1 12.753 0 182.115 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 1 0 0 0 0.000 0 0 0 inf
170 0.914 1 23.618 0 28.862 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 1 0 0 0 0.000 0 0 0 inf
171 1.051 0 8.124 0 inf 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0.000 0 0 0 
172 1.048 1 17.343 0 78.115 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 1 0 0 0 0.000 0 0 0 inf
173 2.102 0 4.005 0 inf 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0.000 0 0 0 
174 1.086 1 23.620 0 73.807 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 1 0 0 0 0.000 0 0 0 inf
175 0.582 1 25.580 0 15.819 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 1 0 0 0 0.000 0 0 0 inf
176 4.232 0 5.467 0 inf 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 0 0 0 0 0.000 0 0 0 
177 0.583 1 28.666 0 22.764 0.000 0 0 0.000 0 0 0.000 0 0 0.000 0.000 0 0 0 1 0 0 0 0.000 0 0 0 inf
